напляжение фаза 1, В	-1.300000
напляжение фаза 2, В	1.000000
количество точек фаза 1	200
количество точек фаза 2	200
длительность импульсов, us	10000.000000
задержка между импульсами, us	0.500000
количество ВАХ в файле	17

номер точки	напряжение, В 	ток, А
721	0.710443	0.000406
722	0.703745	0.000404
723	0.697932	0.000402
724	0.691072	0.000397
725	0.683569	0.000394
726	0.675904	0.000390
727	0.668480	0.000384
728	0.662024	0.000381
729	0.655808	0.000374
730	0.647258	0.000369
731	0.640156	0.000363
732	0.632411	0.000359
733	0.624746	0.000354
734	0.616679	0.000349
735	0.608209	0.000343
736	0.599739	0.000338
737	0.591349	0.000333
738	0.583121	0.000328
739	0.574490	0.000321
740	0.566503	0.000315
741	0.557228	0.000311
742	0.548677	0.000304
743	0.538919	0.000300
744	0.531254	0.000296
745	0.522220	0.000289
746	0.513750	0.000284
747	0.504555	0.000276
748	0.495683	0.000272
749	0.486649	0.000267
750	0.477857	0.000260
751	0.468662	0.000255
752	0.459628	0.000250
753	0.450836	0.000244
754	0.441400	0.000239
755	0.432366	0.000233
756	0.423332	0.000229
757	0.413654	0.000222
758	0.404943	0.000217
759	0.395587	0.000212
760	0.386231	0.000205
761	0.377600	0.000200
762	0.368244	0.000194
763	0.358405	0.000189
764	0.349372	0.000185
765	0.340016	0.000179
766	0.330660	0.000174
767	0.321063	0.000169
768	0.311948	0.000163
769	0.302271	0.000157
770	0.293237	0.000152
771	0.283720	0.000147
772	0.274525	0.000142
773	0.265169	0.000136
774	0.255572	0.000132
775	0.245894	0.000126
776	0.236619	0.000121
777	0.227263	0.000116
778	0.217505	0.000110
779	0.208149	0.000106
780	0.198793	0.000100
781	0.188954	0.000095
782	0.179840	0.000091
783	0.170323	0.000085
784	0.160645	0.000080
785	0.150806	0.000074
786	0.141611	0.000069
787	0.131772	0.000065
788	0.122578	0.000059
789	0.112819	0.000054
790	0.103061	0.000048
791	0.093624	0.000044
792	0.084269	0.000039
793	0.074188	0.000033
794	0.064993	0.000030
795	0.055476	0.000024
796	0.045638	0.000018
797	0.035396	0.000015
798	0.026845	0.000010
799	0.016684	0.000004
800	0.007570	-0.000002
801	-0.002913	-0.000005
802	-0.014866	-0.000013
803	-0.027464	-0.000017
804	-0.040383	-0.000027
805	-0.052578	-0.000032
806	-0.064853	-0.000042
807	-0.077692	-0.000045
808	-0.090209	-0.000053
809	-0.102645	-0.000059
810	-0.115645	-0.000066
811	-0.127679	-0.000073
812	-0.140518	-0.000080
813	-0.153196	-0.000086
814	-0.165552	-0.000095
815	-0.178230	-0.000099
816	-0.190907	-0.000108
817	-0.203585	-0.000115
818	-0.215780	-0.000121
819	-0.228619	-0.000128
820	-0.241216	-0.000136
821	-0.253733	-0.000142
822	-0.266170	-0.000150
823	-0.278928	-0.000156
824	-0.291364	-0.000162
825	-0.304042	-0.000172
826	-0.316881	-0.000179
827	-0.329076	-0.000186
828	-0.341754	-0.000194
829	-0.354432	-0.000200
830	-0.366788	-0.000208
831	-0.379788	-0.000215
832	-0.392224	-0.000222
833	-0.404982	-0.000230
834	-0.417419	-0.000237
835	-0.430338	-0.000244
836	-0.442936	-0.000252
837	-0.455372	-0.000261
838	-0.468211	-0.000268
839	-0.480325	-0.000278
840	-0.493406	-0.000284
841	-0.505681	-0.000292
842	-0.518359	-0.000298
843	-0.531198	-0.000306
844	-0.543956	-0.000315
845	-0.556312	-0.000323
846	-0.569554	-0.000330
847	-0.581909	-0.000342
848	-0.594265	-0.000348
849	-0.606943	-0.000358
850	-0.619621	-0.000367
851	-0.631896	-0.000381
852	-0.644333	-0.000394
853	-0.657011	-0.000405
854	-0.669769	-0.000409
855	-0.682527	-0.000417
856	-0.695205	-0.000427
857	-0.708286	-0.000427
858	-0.721125	-0.000425
859	-0.734044	-0.000429
860	-0.746883	-0.000430
861	-0.759561	-0.000442
862	-0.772722	-0.000439
863	-0.785561	-0.000437
864	-0.798722	-0.000446
865	-0.811239	-0.000454
866	-0.824481	-0.000455
867	-0.836917	-0.000452
868	-0.849997	-0.000454
869	-0.863078	-0.000451
870	-0.875836	-0.000455
871	-0.888836	-0.000465
872	-0.901595	-0.000470
873	-0.914595	-0.000466
874	-0.927514	-0.000476
875	-0.940675	-0.000469
876	-0.953031	-0.000481
877	-0.965548	-0.000487
878	-0.978387	-0.000496
879	-0.991387	-0.000505
880	-1.003904	-0.000511
881	-1.016340	-0.000534
882	-1.027891	-0.000563
883	-1.041857	-0.000546
884	-1.055018	-0.000523
885	-1.067213	-0.000551
886	-1.080857	-0.000556
887	-1.097964	-0.000435
888	-1.112494	-0.000403
889	-1.124688	-0.000384
890	-1.139299	-0.000411
891	-1.150447	-0.000313
892	-1.171419	-0.000271
893	-1.187640	-0.000173
894	-1.202331	-0.000156
895	-1.218310	-0.000108
896	-1.230585	-0.000110
897	-1.242377	-0.000123
898	-1.256022	-0.000125
899	-1.267894	-0.000129
