напляжение фаза 1, В	-1.400000
напляжение фаза 2, В	1.100000
количество точек фаза 1	100
количество точек фаза 2	100
длительность импульсов, us	25000.000000
задержка между импульсами, us	0.500000
количество ВАХ в файле	18

номер точки	напряжение, В 	ток, А
421	-0.545278	-0.000297
422	-0.572554	-0.000312
423	-0.599909	-0.000328
424	-0.627346	-0.000342
425	-0.654621	-0.000358
426	-0.682218	-0.000375
427	-0.709655	-0.000387
428	-0.737252	-0.000394
429	-0.765011	-0.000400
430	-0.792688	-0.000406
431	-0.820205	-0.000420
432	-0.848205	-0.000421
433	-0.875964	-0.000432
434	-0.903078	-0.000448
435	-0.930917	-0.000452
436	-0.958675	-0.000463
437	-0.985629	-0.000493
438	-1.013467	-0.000491
439	-1.040179	-0.000536
440	-1.067615	-0.000551
441	-1.097629	-0.000488
442	-1.126595	-0.000461
443	-1.166834	-0.000198
444	-1.199263	-0.000122
445	-1.227183	-0.000107
446	-1.254458	-0.000113
447	-1.281411	-0.000110
448	-1.310539	-0.000196
449	-1.338861	-0.000114
450	-1.365975	-0.000137
451	-1.392686	-0.000169
452	-1.363559	-0.000130
453	-1.338377	-0.000135
454	-1.310941	-0.000134
455	-1.282055	-0.000136
456	-1.254539	-0.000135
457	-1.226941	-0.000109
458	-1.200713	-0.000105
459	-1.171585	-0.000098
460	-1.144471	-0.000097
461	-1.116149	-0.000099
462	-1.089437	-0.000085
463	-1.061437	-0.000078
464	-1.033276	-0.000078
465	-1.005035	-0.000073
466	-0.977357	-0.000078
467	-0.949518	-0.000077
468	-0.922082	-0.000061
469	-0.895370	-0.000054
470	-0.866806	-0.000058
471	-0.839853	-0.000049
472	-0.811370	-0.000054
473	-0.783934	-0.000045
474	-0.754726	-0.000057
475	-0.727612	-0.000048
476	-0.699853	-0.000045
477	-0.672095	-0.000047
478	-0.643692	-0.000040
479	-0.616175	-0.000038
480	-0.588175	-0.000036
481	-0.560658	-0.000034
482	-0.532497	-0.000032
483	-0.504900	-0.000030
484	-0.476900	-0.000028
485	-0.449303	-0.000026
486	-0.421061	-0.000024
487	-0.393303	-0.000022
488	-0.365786	-0.000021
489	-0.337705	-0.000019
490	-0.309464	-0.000018
491	-0.281947	-0.000017
492	-0.254027	-0.000015
493	-0.226349	-0.000013
494	-0.198108	-0.000012
495	-0.170349	-0.000011
496	-0.142349	-0.000010
497	-0.114188	-0.000009
498	-0.086510	-0.000007
499	-0.058833	-0.000006
500	-0.030591	-0.000006
501	-0.002671	-0.000004
502	0.018926	-0.000004
503	0.041167	-0.000003
504	0.063329	-0.000002
505	0.085087	-0.000002
506	0.107167	-0.000001
507	0.129006	0.000001
508	0.151006	0.000001
509	0.172845	0.000002
510	0.194845	0.000003
511	0.216604	0.000003
512	0.238362	0.000005
513	0.260443	0.000004
514	0.282684	0.000004
515	0.304362	0.000005
516	0.326765	0.000005
517	0.348443	0.000006
518	0.369879	0.000014
519	0.391396	0.000016
520	0.413396	0.000018
521	0.435315	0.000019
522	0.457476	0.000021
523	0.480040	0.000012
524	0.502282	0.000012
525	0.523960	0.000013
526	0.545960	0.000014
527	0.567799	0.000015
528	0.589557	0.000016
529	0.611638	0.000019
530	0.632832	0.000030
531	0.654993	0.000026
532	0.676752	0.000030
533	0.698832	0.000031
534	0.719785	0.000043
535	0.740819	0.000051
536	0.763463	0.000046
537	0.784900	0.000054
538	0.805128	0.000070
539	0.826967	0.000073
540	0.821831	0.000275
541	0.817419	0.000367
542	0.836359	0.000377
543	0.854333	0.000385
544	0.857007	0.000405
545	0.846878	0.000421
546	0.868717	0.000421
547	0.872116	0.000423
548	0.883486	0.000423
549	0.886885	0.000424
550	0.885694	0.000424
551	0.888691	0.000424
552	0.882473	0.000424
553	0.873357	0.000424
554	0.865127	0.000424
555	0.862936	0.000423
556	0.846975	0.000423
557	0.837376	0.000422
558	0.827454	0.000421
559	0.816245	0.000418
560	0.801492	0.000415
561	0.787464	0.000409
562	0.775046	0.000402
563	0.759971	0.000394
564	0.743930	0.000385
565	0.726439	0.000376
566	0.709593	0.000366
567	0.692263	0.000356
568	0.673001	0.000347
569	0.654544	0.000335
570	0.636329	0.000324
571	0.616422	0.000314
572	0.597080	0.000303
573	0.577576	0.000292
574	0.557428	0.000282
575	0.538246	0.000270
576	0.518259	0.000260
577	0.497628	0.000250
578	0.477963	0.000238
579	0.457171	0.000228
580	0.437265	0.000216
581	0.416553	0.000206
582	0.396003	0.000196
583	0.375211	0.000185
584	0.354660	0.000174
585	0.333868	0.000163
586	0.313237	0.000153
587	0.292525	0.000142
588	0.271572	0.000130
589	0.250458	0.000120
590	0.229827	0.000110
591	0.209115	0.000099
592	0.187920	0.000088
593	0.166967	0.000078
594	0.146014	0.000067
595	0.124900	0.000057
596	0.103544	0.000045
597	0.082430	0.000036
598	0.061476	0.000025
599	0.040040	0.000016
600	0.018845	0.000004
601	-0.002349	-0.000007
602	-0.029464	-0.000019
603	-0.056417	-0.000034
604	-0.083451	-0.000046
605	-0.110323	-0.000061
606	-0.137598	-0.000073
607	-0.164632	-0.000086
608	-0.192310	-0.000102
609	-0.219344	-0.000115
610	-0.246216	-0.000129
611	-0.273411	-0.000142
612	-0.300606	-0.000157
613	-0.327801	-0.000171
614	-0.355237	-0.000187
615	-0.382432	-0.000200
616	-0.409546	-0.000214
617	-0.436660	-0.000228
618	-0.463936	-0.000246
619	-0.491211	-0.000260
620	-0.518325	-0.000275
621	-0.546003	-0.000292
622	-0.572876	-0.000306
623	-0.600231	-0.000322
624	-0.627668	-0.000336
625	-0.654782	-0.000355
626	-0.682702	-0.000367
627	-0.709977	-0.000382
628	-0.737655	-0.000387
629	-0.765655	-0.000385
630	-0.793494	-0.000394
631	-0.821172	-0.000396
632	-0.849011	-0.000403
633	-0.876608	-0.000418
634	-0.904205	-0.000427
635	-0.931642	-0.000437
636	-0.959320	-0.000445
637	-0.986997	-0.000453
638	-1.014434	-0.000475
639	-1.043158	-0.000457
640	-1.070353	-0.000490
641	-1.097226	-0.000514
642	-1.125226	-0.000508
643	-1.165385	-0.000227
644	-1.197733	-0.000146
645	-1.229115	-0.000095
646	-1.256713	-0.000092
647	-1.282700	-0.000118
648	-1.310055	-0.000119
649	-1.339263	-0.000109
650	-1.367827	-0.000121
651	-1.395263	-0.000117
652	-1.367585	-0.000132
653	-1.339666	-0.000097
654	-1.311183	-0.000140
655	-1.285196	-0.000091
656	-1.256713	-0.000107
657	-1.227988	-0.000106
658	-1.199344	-0.000104
659	-1.172552	-0.000081
660	-1.146645	-0.000063
661	-1.118001	-0.000075
662	-1.090323	-0.000068
663	-1.062082	-0.000079
664	-1.031585	-0.000093
665	-1.004391	-0.000096
666	-0.977598	-0.000077
667	-0.949437	-0.000080
668	-0.922082	-0.000074
669	-0.894162	-0.000071
670	-0.866323	-0.000067
671	-0.838323	-0.000066
672	-0.810887	-0.000063
